recordid,labsampleid,week,weeksample,week_in25,weekredcap,fase,sampletypex,ncqvalue_d1,nresult_d1,ncopyreaction_d1,orf1abcqvalue_d1,orf1abresult_d1,orf1abcopyreaction_d1,ncqvalue_d2,nresult_d2,ncopyreaction_d2,orf1abcqvalue_d2,orf1abresult_d2,orf1abcopyreaction_d2,naddedlod,orf1abaddedlod,reported_value_n_geomean_cr,reported_value_orf_geomean_cr,reported_value_n_geomean_cpst,reported_value_orf_geomean_cpst,rnabatch_num,pcrbatch_num,n_qual_sum,orf1ab_qual_sum,samplecollectiondate,humidity,airtemperaturecelsius,rainfallmm,anyrainduring24hoursbefore,_merge_arm2,dup_labsampleid,locationtype,totalpopulationinsampledsubdistr,locationname_num,district,subdistrict,typeofsamplingphase1_num,_merge_arm1,totalconfirmedcases,totaldeath,_merge_arm5,s4_ra_geomean_cpst_n,s4_ra_geomean_cpst_orf,_merge_ra,concase_plus7d,concase_plus14d,concase_plus21d,_merge_concase,ncqval_mean,orfcqval_mean,ncqval_cat,orfcqval_cat
1.0,100024.0,1.0,1.0,1,week_1_arm_4,1,sewage,29.48,positive,1940.0,28.33,positive,1130.0,29.58,Positive,1830.0,28.56,positive,995.0,,,1890.0,1060.0,377.0,212.0,RNA COV.MCRI.002,PCR COV.MCRI.002,Positive,Positive,2021-07-28,67.0,28.0,0.0,,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),297.0,14.0,matched (3),6513.938432132819,3666.6355710546227,matched (3),224.0,181.0,186.0,matched (3),29.529999,28.445,25<Ct value<=30,3.0
1.0,100060.0,2.0,2.0,2,week_2_arm_4,1,sewage,31.45,positive,371.0,30.81,positive,179.0,31.59,Positive,349.0,30.58,positive,184.0,,,360.0,181.0,72.0,36.2,RNA COV.MCRI.003,PCR COV.MCRI.003A&B,Positive,Positive,2021-08-02,77.0,29.0,1.3,,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),224.0,19.0,matched (3),637.5510420433059,320.6601978760751,matched (3),181.0,186.0,301.0,matched (3),31.52,30.695,30<Ct value<=35,2.0
1.0,100136.0,3.0,3.0,3,week_3_arm_4,1,sewage,32.56,positive,254.0,31.44,positive,162.0,32.77,Positive,263.0,32.24,positive,141.0,,,258.0,151.0,51.7,30.2,RNA COV.MCRI.004,PCR COV.MCRI.004A&B,Positive,Positive,2021-08-09,75.0,28.0,0.0,,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),181.0,13.0,matched (3),71.67422880451186,41.83901850108689,matched (3),186.0,301.0,25.0,matched (3),32.665,31.84,30<Ct value<=35,2.0
1.0,100172.0,4.0,4.0,4,week_4_arm_4,1,sewage,31.11,positive,644.0,29.71,positive,474.0,30.62,Positive,937.0,29.69,positive,558.0,,,776.0,514.0,155.0,103.0,RNA COV.MCRI.004,PCR COV.MCRI.004A&B,Positive,Positive,2021-08-16,75.0,28.0,0.0,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),186.0,6.0,matched (3),351.91992956469284,233.23744170231384,matched (3),301.0,25.0,77.0,matched (3),30.865002,29.7,30<Ct value<=35,3.0
1.0,100267.0,5.0,5.0,5,week_5_arm_4,1,sewage,35.51,positive,31.9,34.51,positive,3.76,34.91,Positive,51.8,33.57,positive,15.1,,,40.6,7.52,8.13,1.5,RNA COV.MCRI.006,PCR COV.MCRI.006A&B,Positive,Positive,2021-08-27,80.0,26.0,0.0127,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),301.0,7.0,matched (3),19.78128690750213,3.663789397708116,matched (3),25.0,77.0,10.0,matched (3),35.21,34.04,35<Ct value<=40,2.0
1.0,100280.0,6.0,6.0,6,week_6_arm_4,1,sewage,36.36,positive,18.6,36.7,positive,0.659,35.96,Positive,27.4,35.16,positive,5.22,,,22.6,1.85,4.51,0.371,RNA COV.MCRI.006,PCR COV.MCRI.006A&B,Positive,Positive,2021-08-30,64.0,30.0,0.05,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),25.0,2.0,matched (3),7.81566631911127,0.6423701074668,matched (3),77.0,10.0,15.0,matched (3),36.16,35.93,35<Ct value<=40,1.0
1.0,100379.0,7.0,7.0,7,week_7_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.010,PCR COV.MCRI.010,Negative,Negative,2021-09-10,70.0,29.0,0.00762,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),77.0,1.0,matched (3),0.5,0.5,matched (3),10.0,15.0,2.0,matched (3),,,,
1.0,100392.0,8.0,8.0,8,week_8_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.010,PCR COV.MCRI.010,Negative,Negative,2021-09-13,84.0,27.0,0.129,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),10.0,2.0,matched (3),1.0450701491063115,1.0450701491063115,matched (3),15.0,2.0,3.0,matched (3),,,,
1.0,100491.0,9.0,9.0,9,week_9_arm_4,1,sewage,34.97,positive,16.9,,negative,,35.42,Positive,16.6,,negative,,,,16.8,2.5,3.35,0.5,RNA COV.MCRI.012,PCR COV.MCRI.012A,Positive,Negative,2021-09-24,78.0,28.0,0.03302,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),15.0,0.0,matched (3),8.15093281268933,1.214795943967495,matched (3),2.0,3.0,1.0,matched (3),35.195,,35<Ct value<=40,
1.0,100504.0,10.0,10.0,10,week_10_arm_4,1,sewage,36.04,positive,7.66,35.93,positive,3.54,36.25,Positive,9.26,34.99,positive,10.5,,,8.42,6.09,1.68,1.22,RNA COV.MCRI.012,PCR COV.MCRI.012A,Positive,Positive,2021-09-27,74.0,28.0,0.0125,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),2.0,0.0,matched (3),2.5532750257704953,1.8471658234448158,matched (3),3.0,1.0,5.0,matched (3),36.145,35.46,35<Ct value<=40,1.0
